Ensembl Gene ID	Associated Gene Name	SGD Gene	UniProt/SwissProt Accession
YDL204W	RTN2	S000002363	Q12443
YKL050C		S000001533	P35736
YOL081W	IRA2	S000005441	P19158
YML133W-A		S000028689	P0CL27
YML133W-A		S000028689	P0CL28
YML133W-A		S000028689	P0CL29
YML133W-A		S000028689	P0CL30
YML133W-A		S000028689	P0CL31
YDR098C	GRX3	S000002505	Q03835
YBL108C-A	PAU9	S000007592	
YMR048W	CSM3	S000004651	Q04659
YOL011W	PLB3	S000005371	Q08108
YOR177C	MPC54	S000005703	Q08550
YGR205W	TDA10	S000003437	P42938
YLR188W	MDL1	S000004178	P33310
YOL034W	SMC5	S000005394	Q08204
YJR066W	TOR1	S000003827	P35169
YFL021C-A		S000028766	
YCR050C		S000000646	P25630
YOR186C-A		S000028715	Q8TGL3
YHR159W	TDA11	S000001202	P38854
YBL090W	MRP21	S000000186	P38175
YPL139C	UME1	S000006060	Q03010
YBR203W	COS111	S000000407	P38308
YBR121C	GRS1	S000000325	P38088
YGR109C	CLB6	S000003341	P32943
YAL002W	VPS8	S000000002	P39702
YKL215C	OXP1	S000001698	P28273
YGR255C	COQ6	S000003487	P53318
YIL120W	QDR1	S000001382	P40475
YKL165C-A		S000007617	P0C5P5
YKR094C	RPL40B	S000001802	P0CH08
YKR094C	RPL40B	S000001802	P0CH09
YER175C	TMT1	S000000977	P32643
YMR256C	COX7	S000004869	P10174
YDR070C	FMP16	S000002477	Q12497
YEL064C	AVT2	S000000790	P39981
YGL133W	ITC1	S000003101	P53125
YPR156C	TPO3	S000006360	Q06451
YER067W	RGI1	S000000869	P40043
YOR003W	YSP3	S000005529	P25036
YAL056W	GPB2	S000000052	P39717
YGL067W	NPY1	S000003035	P53164
YHL050W-A		S000028644	P0C5B8
YNL119W	NCS2	S000005063	P53923
YNR035C	ARC35	S000005318	P53731
YOR232W	MGE1	S000005758	P38523
YMR092C	AIP1	S000004698	P46680
YNL226W		S000005170	P53864
YDR461W	MFA1	S000002869	P34165
YOR317W	FAA1	S000005844	P30624
YAR066W		S000002144	P0CX18
YAR066W		S000002144	P0CX19
YGR162W	TIF4631	S000003394	P39935
YPL249C-A	RPL36B	S000006438	O14455
YMR102C		S000004708	Q03177
YDL066W	IDP1	S000002224	P21954
YOR387C		S000005914	Q08910
YGL070C	RPB9	S000003038	P27999
YKL010C	UFD4	S000001493	P33202
YDR543C		S000002951	Q03051
YJL076W	NET1	S000003612	P47035
YML025C	YML6	S000004487	P51998
YBR272C	HSM3	S000000476	P38348
YDL111C	RRP42	S000002269	Q12277
YDR524C-A		S000028616	Q8TGR6
YIR030C	DCG1	S000001469	P32460
YPR018W	RLF2	S000006222	Q12495
YNL316C	PHA2	S000005260	P32452
YGR161C	RTS3	S000003393	P53289
YMR068W	AVO2	S000004672	Q04749
YKL168C	KKQ8	S000001651	P36004
YIL011W	TIR3	S000001273	P40552
YDR476C		S000002884	Q03362
YLR157C	ASP3-2	S000004147	P0CZ17
YLR157C	ASP3-2	S000004147	P0CX77
YLR157C	ASP3-2	S000004147	P0CX78
YLR157C	ASP3-2	S000004147	P0CX79
YGL165C		S000003133	P53106
YPL272C	PBI1	S000006193	Q08984
YJL123C	MTC1	S000003659	P47018
YJR078W	BNA2	S000003839	P47125
YNL067W-A		S000007623	P0C5Q8
YHR080C		S000001122	P38800
YMR086W	SEG1	S000004692	Q04279
YDR213W	UPC2	S000002621	Q12151
YNL071W	LAT1	S000005015	P12695
YDL113C	ATG20	S000002271	Q07528
YJL137C	GLG2	S000003673	P47011
YJL114W		S000003650	
YBL086C		S000000182	P38177
YGL006W	PMC1	S000002974	P38929
YMR007W		S000004609	Q03675
YFR026C	ULI1	S000001922	P43604
YHR119W	SET1	S000001161	P38827
YML087C	AIM33	S000004552	Q04516
YMR066W	SOV1	S000004670	Q04748
YLR090W	XDJ1	S000004080	P39102
YER006C-A		S000028745	
YPR196W		S000006400	Q06595
YLR052W	IES3	S000004042	Q12345
YMR225C	MRPL44	S000004838	P19956
YOR230W	WTM1	S000005756	Q12363
YOL102C	TPT1	S000005462	Q12272
YBR062C		S000000266	P38239
YBR169C	SSE2	S000000373	P32590
YFR019W	FAB1	S000001915	P34756
YDR004W	RAD57	S000002411	P25301
YER076C		S000000878	P40049
YBR126W-B		S000028738	
YBR210W	ERV15	S000000414	P38312
YPL206C	PGC1	S000006127	Q08959
YJL170C	ASG7	S000003706	P46993
YKR073C		S000001781	P36153
YNL322C	KRE1	S000005266	P17260
YBL100W-C		S000028598	P0C269
YHR155W	YSP1	S000001198	P38851
YNR043W	MVD1	S000005326	P32377
YLR083C	EMP70	S000004073	P32802
YBR223W-A		S000028604	Q8TGQ3
YGR082W	TOM20	S000003314	P35180
YER004W	FMP52	S000000806	P40008
YNL232W	CSL4	S000005176	P53859
YMR251W-A	HOR7	S000004864	Q05827
YNL209W	SSB2	S000005153	P40150
YDR037W	KRS1	S000002444	P15180
YHR153C	SPO16	S000001196	P17122
YKR055W	RHO4	S000001763	Q00246
YPR016C	TIF6	S000006220	Q12522
YOR316C	COT1	S000005843	P32798
YLR060W	FRS1	S000004050	P15624
YNL178W	RPS3	S000005122	P05750
YHR206W	SKN7	S000001249	P38889
YPL090C	RPS6A	S000006011	P0CX37
YPL090C	RPS6A	S000006011	P0CX38
YLR132C	USB1	S000004122	Q12208
YNL025C	SSN8	S000004970	P47821
YDR483W	KRE2	S000002891	P27809
YPR027C		S000006231	Q12079
YPL067C		S000005988	Q02754
YCR026C	NPP1	S000000621	P25353
YDL214C	PRR2	S000002373	Q12310
YLR326W		S000004318	Q06170
YMR080C	NAM7	S000004685	P30771
YBL082C	ALG3	S000000178	P38179
YGL092W	NUP145	S000003060	P49687
YGL159W		S000003127	P53110
YDL017W	CDC7	S000002175	P06243
YGL218W		S000003186	P53084
YDR527W	RBA50	S000002935	Q04418
YBR093C	PHO5	S000000297	P00635
YGL138C		S000003106	P53122
YDR391C		S000002799	Q04170
YOR131C		S000005657	Q12486
YDR345C	HXT3	S000002753	P32466
YBR015C	MNN2	S000000219	P38069
YLR303W	MET17	S000004294	P06106
YIL151C	ESL1	S000001413	P40456
YDL185C-A		S000007600	P0C5M4
YLR016C	PML1	S000004006	Q07930
YLR127C	APC2	S000004117	Q12440
YOL116W	MSN1	S000005476	P22148
YJL222W	VTH2	S000003758	P40890
YPL155C	KIP2	S000006076	P28743
YKR012C		S000001720	P36109
YNL186W	UBP10	S000005130	P53874
YFR024C-A	LSB3	S000002968	P43603
YPR110C	RPC40	S000006314	P07703
YLR097C	HRT3	S000004087	Q12347
YDR210C-C		S000007409	Q12441
YNL324W		S000005268	P53825
YMR238W	DFG5	S000004851	Q05031
YCR034W	ELO2	S000000630	P25358
YCR106W	RDS1	S000000703	P25611
YLR414C	PUN1	S000004406	Q06991
YDR392W	SPT3	S000002800	P06844
YIL035C	CKA1	S000001297	P15790
YBL032W	HEK2	S000000128	P38199
YML049C	RSE1	S000004513	Q04693
YDR416W	SYF1	S000002824	Q04048
YDL247W-A		S000007602	P0C5L9
YKL083W		S000001566	P36079
YDL108W	KIN28	S000002266	P06242
YBL022C	PIM1	S000000118	P36775
YGR176W		S000003408	P32475
YMR240C	CUS1	S000004853	Q02554
YIL089W		S000001351	P40500
YPR052C	NHP6A	S000006256	P11632
YGL071W	AFT1	S000003039	P22149
YPR159C-A		S000028725	Q8TGQ7
YGR219W		S000003451	P53307
YPL115C	BEM3	S000006036	P32873
YBL063W	KIP1	S000000159	P28742
YMR049C	ERB1	S000004652	Q04660
YMR045C		S000004648	Q04214
YIL046W	MET30	S000001308	P39014
YMR292W	GOT1	S000004906	Q03554
YDR243C	PRP28	S000002651	P23394
YDL008W	APC11	S000002166	Q12157
YNL126W	SPC98	S000005070	P53540
YNR017W	TIM23	S000005300	P32897
YOR383C	FIT3	S000005910	Q08907
YOR246C	ENV9	S000005772	Q08651
YLR095C	IOC2	S000004085	Q12072
YNL050C		S000004995	P53952
YOR115C	TRS33	S000005641	Q99394
YCR100C		S000000697	P25606
YNL096C	RPS7B	S000005040	P48164
YLL034C	RIX7	S000003957	Q07844
YHR019C	DED81	S000001061	P38707
YLR075W	RPL10	S000004065	P41805
YDL220C	CDC13	S000002379	P32797
YKL033W-A		S000007242	Q86ZR7
YNL123W	NMA111	S000005067	P53920
YPL084W	BRO1	S000006005	P48582
YNL162W-A		S000007624	Q3E7A8
YMR122W-A		S000007524	Q3E842
YGR260W	TNA1	S000003492	P53322
YFR031C-A	RPL2A	S000002104	P0CX45
YFR031C-A	RPL2A	S000002104	P0CX46
YDR012W	RPL4B	S000002419	P49626
YOR113W	AZF1	S000005639	P41696
YCL005W	LDB16	S000000511	P25587
YLR417W	VPS36	S000004409	Q06696
YIR003W	AIM21	S000001442	P40563
YJR146W		S000003907	P47174
YLR390W	ECM19	S000004382	Q06011
YBR233W-A	DAD3	S000007595	P69850
YKL022C	CDC16	S000001505	P09798
YHR157W	REC104	S000001200	P33323
YAL014C	SYN8	S000000012	P31377
YOL072W	THP1	S000005433	Q08231
YPL239W	YAR1	S000006160	P46683
YJR055W	HIT1	S000003816	P46973
YBR179C	FZO1	S000000383	P38297
YLR226W	BUR2	S000004216	Q05949
YFR048W	RMD8	S000001944	P43620
YBR230W-A		S000029722	Q3E762
YIL074C	SER33	S000001336	P40510
YGR031W	IMO32	S000003263	P53219
YOR322C	LDB19	S000005849	Q12502
YDL145C	COP1	S000002304	P53622
YOR033C	EXO1	S000005559	P39875
YKR077W	MSA2	S000001785	P36157
YNL284C-A		S000007386	Q12391
YPR088C	SRP54	S000006292	P20424
YPR063C		S000006267	Q12160
YJR013W	GPI14	S000003774	P47088
YKL046C	DCW1	S000001529	P36091
YER107C	GLE2	S000000909	P40066
YKL024C	URA6	S000001507	P15700
YPR054W	SMK1	S000006258	P41808
YMR075W	RCO1	S000004680	Q04779
YMR012W	CLU1	S000004614	Q03690
YLR377C	FBP1	S000004369	P09201
YBR262C	MIC12	S000000466	P38341
YDR088C	SLU7	S000002495	Q02775
YDR118W	APC4	S000002525	Q04601
YEL030W	ECM10	S000000756	P39987
YIR034C	LYS1	S000001473	P38998
YKL008C	LAC1	S000001491	P28496
YMR291W	TDA1	S000004905	Q03533
YML011C	RAD33	S000004472	Q04231
YPL048W	CAM1	S000005969	P29547
YIL159W	BNR1	S000001421	P40450
YGL120C	PRP43	S000003088	P53131
YCL048W	SPS22	S000000553	P25380
YAR008W	SEN34	S000000066	P39707
YER179W	DMC1	S000000981	P25453
YGL116W	CDC20	S000003084	P26309
YJR047C	ANB1	S000003808	P19211
YKL219W	COS9	S000001702	P36034
YPR126C		S000006330	O13567
YMR001C	CDC5	S000004603	P32562
YGL227W	VID30	S000003196	P53076
YLR406C	RPL31B	S000004398	P0C2H9
YDR506C	GMC1	S000002914	Q04399
YER135C		S000000937	P40082
YDR299W	BFR2	S000002707	Q06631
YOR223W	DSC3	S000005749	Q12015
YBR298C	MAL31	S000000502	P38156
YBR298C	MAL31	S000000502	P15685
YLR001C		S000003991	Q07895
YAL003W	EFB1	S000000003	P32471
YHR185C	PFS1	S000001228	P38872
YPL049C	DIG1	S000005970	Q03063
YBR187W	GDT1	S000000391	P38301
YBL111C		S000002151	Q3E7Y5
YBL111C		S000002151	P38899
YKL159C	RCN1	S000001642	P36054
YNL260C	LTO1	S000005204	P53846
YLR154W-B		S000028563	P0C5P9
YJL210W	PEX2	S000003746	P32800
YBL015W	ACH1	S000000111	P32316
YAL054C	ACS1	S000000050	Q01574
YCR097W-A		S000007632	Q96VG6
YMR119W	ASI1	S000004725	P54074
YDL020C	RPN4	S000002178	Q03465
YDR174W	HMO1	S000002581	Q03973
YBR055C	PRP6	S000000259	P19735
YIL018W	RPL2B	S000001280	P0CX45
YIL018W	RPL2B	S000001280	P0CX46
YJL105W	SET4	S000003641	P42948
YGR040W	KSS1	S000003272	P14681
YJR103W	URA8	S000003864	P38627
YLL037W		S000003960	Q07865
YOR191W	ULS1	S000005717	Q08562
YOR013W	IRC11	S000005539	Q12479
YGL210W	YPT32	S000003178	P51996
YML036W	CGI121	S000004500	Q03705
YOL134C		S000005494	Q08272
YFL051C		S000001843	P43552
YJL205C	NCE101	S000003742	Q02820
YLR293C	GSP1	S000004284	P32835
YDR413C		S000002821	P87266
YHR031C	RRM3	S000001073	P38766
YLR149C-A		S000007619	P0C5P8
YJR118C	ILM1	S000003879	P47155
YIR040C		S000001479	P40584
YLR177W		S000004167	Q06251
YMR031W-A		S000004634	Q6Q572
YBL005W-B		S000002147	Q12490
YGR279C	SCW4	S000003511	P53334
YBR290W	BSD2	S000000494	P38356
YGL123W	RPS2	S000003091	P25443
YOL115W	PAP2	S000005475	P53632
YOR231W	MKK1	S000005757	P32490
YMR062C	ARG7	S000004666	Q04728
YPL176C	TRE1	S000006097	Q08919
YJR134C	SGM1	S000003895	P47166
YLL051C	FRE6	S000003974	Q12473
YDL094C		S000002252	Q07509
YLR119W	SRN2	S000004109	Q99176
YIL064W	EFM4	S000001326	P40516
YDR165W	TRM82	S000002572	Q03774
YNL142W	MEP2	S000005086	P41948
YMR222C	FSH2	S000004835	Q05015
YHR144C	DCD1	S000001187	P06773
YPL198W	RPL7B	S000006119	Q12213
YBR178W		S000000382	P38296
YNL311C	SKP2	S000005255	P42843
YLR242C	ARV1	S000004232	Q06541
YER057C	HMF1	S000000859	P40037
YML029W	USA1	S000004491	Q03714
YCR087C-A		S000007223	P37263
YLR337C	VRP1	S000004329	P37370
YAL033W	POP5	S000000031	P28005
YNR060W	FRE4	S000005343	P53746
YLR333C	RPS25B	S000004325	P0C0T4
YGL087C	MMS2	S000003055	P53152
YML037C		S000004501	Q03703
YDL101C	DUN1	S000002259	P39009
YDR195W	REF2	S000002603	P42073
YDR322W	MRPL35	S000002730	Q06678
YDL102W	POL3	S000002260	P15436
YOR170W		S000005696	Q08543
YGR276C	RNH70	S000003508	P53331
YBR126C	TPS1	S000000330	Q00764
YJL081C	ARP4	S000003617	P80428
YLR363W-A		S000007620	Q3E747
YGR076C	MRPL25	S000003308	P23369
YMR075C-A		S000004679	Q6B0Y7
YCR020C-A	MAK31	S000000614	P23059
YDL141W	BPL1	S000002300	P48445
YNL114C		S000005058	P53926
YML010W	SPT5	S000004470	P27692
YDR463W	STP1	S000002871	Q00947
YHR054C		S000001096	P38780
YPL168W		S000006089	Q12467
YDR328C	SKP1	S000002736	P52286
YDR344C		S000002752	Q05510
YGR021W		S000003253	P53212
YPL237W	SUI3	S000006158	P09064
YKR056W	TRM2	S000001764	P33753
YMR224C	MRE11	S000004837	P32829
YPR105C	COG4	S000006309	Q06096
YKL030W		S000001513	P36099
YPL083C	SEN54	S000006004	Q02825
YBL059C-A	CMC2	S000007488	Q3E7A4
YAL016C-A		S000028728	
YMR172W	HOT1	S000004783	Q03213
YHR021C	RPS27B	S000001063	P38711
YGL217C		S000003185	P53085
YOL140W	ARG8	S000005500	P18544
YGL107C	RMD9	S000003075	P53140
YGR128C	UTP8	S000003360	P53276
YNR020C	ATP23	S000005303	P53722
YOR206W	NOC2	S000005732	P39744
YPR017C	DSS4	S000006221	P32601
YDL132W	CDC53	S000002290	Q12018
YER137C-A		S000007402	P0CX70
YER137C-A		S000007402	P0CX71
YER137C-A		S000007402	P0CX72
YER137C-A		S000007402	P0CX73
YNR039C	ZRG17	S000005322	P53735
YAL063C	FLO9	S000000059	P39712
YFR016C		S000001912	P43597
YGL193C		S000003161	P53097
YCR010C	ADY2	S000000603	P25613
YDR283C	GCN2	S000002691	P15442
YBL071C		S000000167	P38185
YOR354C	MSC6	S000005881	Q08818
YNL309W	STB1	S000005253	P42845
YMR143W	RPS16A	S000004751	P0CX51
YMR143W	RPS16A	S000004751	P0CX52
YGR183C	QCR9	S000003415	P22289
YGR179C	OKP1	S000003411	P53298
YGR175C	ERG1	S000003407	P32476
YAR020C	PAU7	S000000073	P39545
YKR072C	SIS2	S000001780	P36024
YNL265C	IST1	S000005209	P53843
YKL211C	TRP3	S000001694	P00937
YMR192W	GYL1	S000004804	Q04322
YLR274W	MCM5	S000004264	P29496
YGL043W	DST1	S000003011	P07273
YPR189W	SKI3	S000006393	P17883
YDL103C	QRI1	S000002261	P43123
YDL152W		S000002311	Q12394
YNL196C	SLZ1	S000005140	P40167
YHL003C	LAG1	S000000995	P38703
YGL135W	RPL1B	S000003103	P0CX43
YGL135W	RPL1B	S000003103	P0CX44
YJL155C	FBP26	S000003691	P32604
YHR212W-A		S000028650	P0CX90
YHR212W-A		S000028650	P0CX91
YOL132W	GAS4	S000005492	Q08271
YGL082W		S000003050	P53155
YNR048W		S000005331	P53740
YDL134C	PPH21	S000002292	P23594
YHR083W	SAM35	S000001125	P14693
YLL023C	POM33	S000003946	Q12164
YGR204W	ADE3	S000003436	P07245
YLR202C		S000004192	O13531
YFR005C	SAD1	S000001901	P43589
YBR216C	YBP1	S000000420	P38315
YGR265W		S000003497	P53325
YEL020W-A	TIM9	S000007256	O74700
YEL038W	UTR4	S000000764	P32626
YCR035C	RRP43	S000000631	P25359
YLR022C	SDO1	S000004012	Q07953
YMR026C	PEX12	S000004628	Q04370
YJR016C	ILV3	S000003777	P39522
YDR176W	NGG1	S000002583	P32494
YGL004C	RPN14	S000002972	P53196
YDR222W		S000002630	Q04925
YPR162C	ORC4	S000006366	P54791
YEL076C-A		S000002955	P0CX16
YEL076C-A		S000002955	P0CX17
YEL054C	RPL12A	S000000780	P0CX53
YEL054C	RPL12A	S000000780	P0CX54
YDR020C	DAS2	S000002427	Q12084
YKL165C	MCD4	S000001648	P36051
YPR129W	SCD6	S000006333	P45978
YDL091C	UBX3	S000002249	Q12229
YJL154C	VPS35	S000003690	P34110
YKL164C	PIR1	S000001647	Q03178
YDR220C		S000002628	Q04923
YDR074W	TPS2	S000002481	P31688
YBR240C	THI2	S000000444	P38141
YHR086W-A		S000028552	Q3E746
YDR251W	PAM1	S000002659	P37304
YOL042W	NGL1	S000005402	Q08213
YHR196W	UTP9	S000001239	P38882
YDR494W	RSM28	S000002902	Q03430
YGL142C	GPI10	S000003110	P30777
YKL151C		S000001634	P36059
YLL067C		S000003990	
YPL230W	USV1	S000006151	Q12132
YOR144C	ELG1	S000005670	Q12050
YOR046C	DBP5	S000005572	P20449
YLL062C	MHT1	S000003985	Q12525
YLR255C		S000004245	O13574
YBL056W	PTC3	S000000152	P34221
YER089C	PTC2	S000000891	P39966
YDL175C	AIR2	S000002334	Q12476
YOR336W	KRE5	S000005863	P22023
YKL100W-A		S000028840	P0C5P2
YML131W		S000004600	Q03102
YNL139C	THO2	S000005083	P53552
YHR192W	LNP1	S000001235	P38878
YNL313C	EMW1	S000005257	P42842
YCR051W		S000000647	P25631
YGR067C		S000003299	P53243
YHL024W	RIM4	S000001016	P38741
YJL185C	ATG36	S000003721	P46983
YBL012C		S000000108	P38209
YER071C	TDA2	S000000873	P40045
YOR063W	RPL3	S000005589	P14126
YDR524C-B		S000028739	Q3E6R4
YDR102C		S000002509	Q03864
YPL076W	GPI2	S000005997	P46961
YIR002C	MPH1	S000001441	P40562
YMR294W	JNM1	S000004908	P36224
YER044C-A	MEI4	S000001954	P29467
YIL017C	VID28	S000001279	P40547
YML110C	COQ5	S000004578	P49017
YPR065W	ROX1	S000006269	P25042
YLR288C	MEC3	S000004279	Q02574
YHR213W-B		S000028652	Q8TGK1
YJL093C	TOK1	S000003629	P40310
YNR069C	BSC5	S000005352	P53755
YLR170C	APS1	S000004160	P35181
YCR057C	PWP2	S000000653	P25635
YJL160C		S000003696	P46999
YBR287W		S000000491	P38355
Q0050	AI1	S000007261	P03875
YDR356W	SPC110	S000002764	P32380
YER077C		S000000879	P40050
YDL033C	SLM3	S000002191	Q12093
YJR083C	ACF4	S000003843	P47129
YDR291W	HRQ1	S000002699	Q05549
YGR239C	PEX21	S000003471	P50091
YML057C-A		S000004522	P0C261
YER031C	YPT31	S000000833	P38555
YFR057W		S000001953	P43625
YOR006C	TSR3	S000005532	Q12094
YPR204W		S000006408	Q08995
YNL283C	WSC2	S000005227	P53832
YGR153W		S000003385	P48238
YOL032W	OPI10	S000005392	Q08202
YLR194C		S000004184	Q05777
YPR158C-C		S000007361	Q6Q5H1
YER168C	CCA1	S000000970	P21269
YML031C-A		S000028809	
YDR079C-A	TFB5	S000007603	Q3E7C1
YFR032C-A	RPL29	S000006437	P05747
YJL151C	SNA3	S000003687	P14359
YOR332W	VMA4	S000005859	P22203
YMR181C		S000004793	Q03231
YOL010W	RCL1	S000005370	Q08096
YDL042C	SIR2	S000002200	P06700
YNL109W		S000005053	P53928
YKR022C	NTR2	S000001730	P36118
YNL148C	ALF1	S000005092	P53904
YMR318C	ADH6	S000004937	Q04894
YGL078C	DBP3	S000003046	P20447
YER142C	MAG1	S000000944	P22134
YIL065C	FIS1	S000001327	P40515
YPL062W		S000005983	Q02781
YKR074W	AIM29	S000001782	P36154
YNL099C	OCA1	S000005043	P50946
YKL201C	MNN4	S000001684	P36044
YPR083W	MDM36	S000006287	Q06820
YBL033C	RIB1	S000000129	P38066
YDL159W-A		S000007599	Q3E774
YCL057W	PRD1	S000000562	P25375
YHR102W	KIC1	S000001144	P38692
YDR117C	TMA64	S000002524	Q04600
YLR245C	CDD1	S000004235	Q06549
YNL198C		S000005142	P40166
YLR185W	RPL37A	S000004175	P49166
YGL216W	KIP3	S000003184	P53086
YPL254W	HFI1	S000006175	Q12060
YNL100W	MIC27	S000005044	P50945
YPL184C	MRN1	S000006105	Q08925
YDR492W	IZH1	S000002900	Q03419
YER006W	NUG1	S000000808	P40010
YOL114C		S000005474	Q12322
YNL288W	CAF40	S000005232	P53829
YGR096W	TPC1	S000003328	P53257
YER132C	PMD1	S000000934	P32634
YJL008C	CCT8	S000003545	P47079
YHR202W		S000001245	P38887
YJR041C	URB2	S000003802	P47108
YHR094C	HXT1	S000001136	P32465
YKR045C		S000001753	P36138
YPR140W	TAZ1	S000006344	Q06510
YPR029C	APL4	S000006233	Q12028
YNL318C	HXT14	S000005262	P42833
YDR276C	PMP3	S000002684	P87284
YHR165C	PRP8	S000001208	P33334
YLL014W	EMC6	S000003937	Q12431
YOR272W	YTM1	S000005798	Q12024
YLL056C		S000003979	Q12177
YOL040C	RPS15	S000005400	Q01855
YGR143W	SKN1	S000003375	P33336
YPL165C	SET6	S000006086	Q12529
YNR026C	SEC12	S000005309	P11655
YLR120W-A		S000028674	Q8TGR1
YOR203W		S000005729	Q08621
YBL013W	FMT1	S000000109	P32785
YER038W-A		S000028746	
YMR013W-A		S000007622	P0C5Q2
YOR302W		S000005828	P08521
YGR122W		S000003354	P53272
YLR076C		S000004066	Q08018
YGR221C	TOS2	S000003453	P50078
YLL018C	DPS1	S000003941	P04802
YDR275W	BSC2	S000002683	Q05611
YDR295C	HDA2	S000002703	Q06629
YHR140W		S000001182	P38842
YKL127W	PGM1	S000001610	P33401
YJL131C	AIM23	S000003667	P47015
YOR241W	MET7	S000005767	Q08645
YDR382W	RPP2B	S000002790	P02400
YDR495C	VPS3	S000002903	P23643
YOL129W	VPS68	S000005489	Q12016
YNL102W	POL1	S000005046	P13382
YML014W	TRM9	S000004476	P49957
YDR237W	MRPL7	S000002645	P36519
YOR343W-A		S000007355	Q12293
YKR009C	FOX2	S000001717	Q02207
YGL006W-A		S000028769	Q3E802
YJR129C	EFM3	S000003890	P47163
YPR039W		S000006243	Q6B0W0
YPR024W	YME1	S000006228	P32795
YOR289W		S000005815	Q12012
YLR259C	HSP60	S000004249	P19882
YIL102C		S000001364	P40488
YOR229W	WTM2	S000005755	Q12206
YKR049C	FMP46	S000001757	P36141
YKL073W	LHS1	S000001556	P36016
YDR496C	PUF6	S000002904	Q04373
YBL070C		S000000166	P38186
YPL042C	SSN3	S000005963	P39073
YJL133W	MRS3	S000003669	P10566
YOL077W-A	ATP19	S000007339	P81451
YCL040W	GLK1	S000000545	P17709
YPL145C	KES1	S000006066	P35844
YDL146W	LDB17	S000002305	Q12342
YDR100W	TVP15	S000002507	Q03860
YJR004C	SAG1	S000003764	P20840
YBR186W	PCH2	S000000390	P38126
YKL137W	CMC1	S000001620	P36064
Q0160	SCEI	S000007279	P03882
YDR098C-A		S000007390	Q03856
YFR041C	ERJ5	S000001937	P43613
YLR133W	CKI1	S000004123	P20485
YKL006C-A	SFT1	S000002101	P43682
YPR192W	AQY1	S000006396	P0CD91
YPR192W	AQY1	S000006396	P0CD92
YMR189W	GCV2	S000004801	P49095
YOR137C	SIA1	S000005663	Q12212
YNL215W	IES2	S000005159	P40154
YDL105W	NSE4	S000002263	P43124
YOR161W-A		S000028713	Q8TGL5
YDR111C	ALT2	S000002518	P52892
YCL029C	BIK1	S000000534	P11709
YDR172W	SUP35	S000002579	P05453
YPL064C	CWC27	S000005985	Q02770
YML054C-A		S000028573	Q3E809
YNL085W	MKT1	S000005029	P40850
YAL031W-A		S000028731	
YDL230W	PTP1	S000002389	P25044
YFR025C	HIS2	S000001921	P38635
YHR093W	AHT1	S000001135	P29589
YOR050C		S000005576	Q08419
YNL264C	PDR17	S000005208	P53844
YGL051W	MST27	S000003019	P53176
YBL038W	MRPL16	S000000134	P38064
YHR148W	IMP3	S000001191	P32899
YPL166W	ATG29	S000006087	Q12092
YIL165C		S000001427	P40446
YJL005W	CYR1	S000003542	P08678
YDR103W	STE5	S000002510	P32917
YNL130C-A	DGR1	S000028579	Q3E808
YAR050W	FLO1	S000000084	P32768
YPL026C	SKS1	S000005947	Q12505
YJR006W	POL31	S000003766	P46957
YLR044C	PDC1	S000004034	P06169
YJL115W	ASF1	S000003651	P32447
YLR262C	YPT6	S000004252	Q99260
YDR386W	MUS81	S000002794	Q04149
YJL099W	CHS6	S000003635	P40955
YLR422W		S000004414	Q06409
YJR154W		S000003915	P47181
YNL333W	SNZ2	S000005277	P53824
YFR010W	UBP6	S000001906	P43593
YJL161W	FMP33	S000003697	P46998
YJR097W	JJJ3	S000003858	P47138
YIR021W	MRS1	S000001460	P07266
YJR046W	TAH11	S000003807	P47112
YPR103W	PRE2	S000006307	P30656
YBL088C	TEL1	S000000184	P38110
YJR122W	IBA57	S000003883	P47158
YOR390W	FEX1	S000005917	Q08913
YML105C	SEC65	S000004573	P29478
YCR047W-A		S000028608	Q8TGQ1
YDL245C	HXT15	S000002404	P54854
YEL049W	PAU2	S000000775	P32612
YKL035W	UGP1	S000001518	P32861
YMR056C	AAC1	S000004660	P04710
YDR141C	DOP1	S000002548	Q03921
YGL171W	ROK1	S000003139	P45818
YLR115W	CFT2	S000004105	Q12102
YOR373W	NUD1	S000005900	P32336
YOL096C	COQ3	S000005456	P27680
YGR249W	MGA1	S000003481	P53050
YLR235C		S000004225	
YAR035W	YAT1	S000000080	P80235
YGR198W	YPP1	S000003430	P46951
YBR081C	SPT7	S000000285	P35177
YJR026W		S000003787	P0CX74
YJR026W		S000003787	P0CX75
YJR026W		S000003787	P0CX76
YNR022C	MRPL50	S000005305	P53724
YPL167C	REV3	S000006088	P14284
YDR034C	LYS14	S000002441	P40971
YBR033W	EDS1	S000000237	P38073
YGR291C		S000003523	P53340
YPL186C	UIP4	S000006107	Q08926
YBL084C	CDC27	S000000180	P38042
YOR352W	TFB6	S000005879	Q08816
YDL030W	PRP9	S000002188	P19736
YLR406C-A		S000028683	Q8TGT1
YAL013W	DEP1	S000000011	P31385
YLR294C		S000004285	O13543
YBR012C		S000000216	P38214
YJL031C	BET4	S000003568	Q00618
YKR084C	HBS1	S000001792	P32769
YDL104C	QRI7	S000002262	P43122
YHR175W	CTR2	S000001218	P38865
YGR174W-A		S000028639	Q8TGT8
YBL008W-A		S000028529	Q3E821
YBR002C	RER2	S000000206	P35196
YBR246W	RRT2	S000000450	P38332
YDR119W-A	COX26	S000113555	Q2V2P9
