Ensembl Gene ID	Associated Gene Name	SGD Gene	UniProt/SwissProt Accession
YBR234C	ARC40	S000000438	P38328
YNL047C	SLM2	S000004992	P53955
YKL038W	RGT1	S000001521	P32862
YFL053W	DAK2	S000001841	P43550
YOR200W		S000005726	Q08620
YKR060W	UTP30	S000001768	P36144
YPR200C	ARR2	S000006404	Q06597
YLR411W	CTR3	S000004403	Q06686
YLR318W	EST2	S000004310	Q06163
YHR150W	PEX28	S000001193	P38848
YGL219C	MDM34	S000003187	P53083
YFL009W	CDC4	S000001885	P07834
YBR045C	GIP1	S000000249	P38229
YMR039C	SUB1	S000004642	P54000
YKL195W	MIA40	S000001678	P36046
YPR127W		S000006331	Q06494
YPL188W	POS5	S000006109	Q06892
YGL147C	RPL9A	S000003115	P05738
YDR217C	RAD9	S000002625	P14737
YML015C	TAF11	S000004477	Q04226
YJR126C	VPS70	S000003887	P47161
YPR026W	ATH1	S000006230	P48016
YHR073W	OSH3	S000001115	P38713
YMR274C	RCE1	S000004887	Q03530
YMR008C	PLB1	S000004610	P39105
YHR125W		S000001167	P38831
YER119C-A		S000002961	P87191
YDL227C	HO	S000002386	P09932
YOR197W	MCA1	S000005723	Q08601
YDR034C-C		S000007344	Q12392
YNL081C	SWS2	S000005025	P53937
YKL096W-A	CWP2	S000001956	P43497
YDR532C	KRE28	S000002940	Q04431
YNL319W		S000005263	P53826
YDR049W	VMS1	S000002456	Q04311
YBR113W		S000000317	P38267
YKL170W	MRPL38	S000001653	P35996
YJL043W		S000003579	P47053
YGL047W	ALG13	S000003015	P53178
YLR006C	SSK1	S000003996	Q07084
YHR079C	IRE1	S000001121	P32361
YPR171W	BSP1	S000006375	Q06604
YML063W	RPS1B	S000004528	P23248
YLR178C	TFS1	S000004168	P14306
YHL029C	OCA5	S000001021	P38738
YJL090C	DPB11	S000003626	P47027
YBR008C	FLR1	S000000212	P38124
YDR372C	VPS74	S000002780	Q06385
YOR184W	SER1	S000005710	P33330
YHR218W		S000001261	P38899
YMR203W	TOM40	S000004816	P23644
YBL006W-A		S000028596	Q8TGQ6
YIR008C	PRI1	S000001447	P10363
YBL024W	NCL1	S000000120	P38205
YDR317W	HIM1	S000002725	Q06674
YOL166C		S000005526	Q08373
YJL087C	TRL1	S000003623	P09880
YJL038C	LOH1	S000003575	P47055
YDR043C	NRG1	S000002450	Q03125
YHR028C	DAP2	S000001070	P18962
YOR340C	RPA43	S000005867	P46669
YCL044C	MGR1	S000000549	P25573
YEL072W	RMD6	S000000798	P39975
YFR022W	ROG3	S000001918	P43602
YIR010W	DSN1	S000001449	P40568
YBL008W	HIR1	S000000104	P32479
YMR178W		S000004790	Q03219
YOL008W	COQ10	S000005368	Q08058
YHR017W	YSC83	S000001059	P32792
YKR101W	SIR1	S000001809	P21691
YMR095C	SNO1	S000004701	Q03144
YHR198C	AIM18	S000001241	P38884
YOR076C	SKI7	S000005602	Q08491
YGL015C		S000002983	P33199
YNL219C	ALG9	S000005163	P53868
YLR210W	CLB4	S000004200	P24871
YIL034C	CAP2	S000001296	P13517
YLR148W	PEP3	S000004138	P27801
YOR342C		S000005869	Q12182
YOL070C	NBA1	S000005431	Q08229
YDL160C	DHH1	S000002319	P39517
YIL043C	CBR1	S000001305	P38626
YLR124W		S000004114	Q12327
YGR231C	PHB2	S000003463	P50085
YPR202W		S000006406	Q08993
YGR034W	RPL26B	S000003266	P53221
YMR266W	RSN1	S000004879	Q03516
YNL021W	HDA1	S000004966	P53973
YPL107W		S000006028	Q02873
YGR088W	CTT1	S000003320	P06115
YHR173C		S000001216	P38864
YCR063W	BUD31	S000000659	P25337
YHR073W-A		S000028834	P0C5N7
YDL048C	STP4	S000002206	Q07351
YML092C	PRE8	S000004557	P23639
YPR097W		S000006301	Q06839
YBR201C-A		S000087085	Q2V2Q3
YNL056W	OCA2	S000005001	P53949
YAL020C	ATS1	S000000018	P31386
YDL025C	RTK1	S000002183	Q12100
YDL243C	AAD4	S000002402	Q07747
YFL017C	GNA1	S000001877	P43577
YGL197W	MDS3	S000003165	P53094
YLR256W-A		S000007377	P0C2I8
YHR092C	HXT4	S000001134	P32467
YLL011W	SOF1	S000003934	P33750
YDR379C-A	SDH6	S000007605	Q3E785
YDR113C	PDS1	S000002520	P40316
YLR189C	ATG26	S000004179	Q06321
YNR074C	AIF1	S000005357	P52923
YOL159C		S000005519	Q08300
YDL247W	MPH2	S000002406	P0CD99
YFL028C	CAF16	S000001866	P43569
YML032C	RAD52	S000004494	P06778
YBR256C	RIB5	S000000460	P38145
YOR081C	TGL5	S000005607	Q12043
YLR442C	SIR3	S000004434	P06701
YPL024W	RMI1	S000005945	Q02685
YMR257C	PET111	S000004870	P08468
YDL219W	DTD1	S000002378	Q07648
YKL122C	SRP21	S000001605	P32342
YKR040C		S000001748	P36133
YDL080C	THI3	S000002238	Q07471
YGL240W	DOC1	S000003209	P53068
YEL001C	IRC22	S000000727	P40006
YLR374C		S000004366	O13545
YPR168W	NUT2	S000006372	Q06213
YDL034W		S000002192	Q12448
YHR109W	CTM1	S000001151	P38818
YJL060W	BNA3	S000003596	P47039
YPL061W	ALD6	S000005982	P54115
