"","APM3","DBP3","MRH1","NSR1","SSZ1","YBL028C","ZUO1"
"YHR216W",1.29014995798938,-0.557616812879123,-1.0263226062993,0.0440840138788046,-1.19330474646824,-0.979259576684863,-2.51787453592001
"YIL038C",-1.06163139433915,0,0,0,0,0,0
"YIL103W",0,0,0.0996318500144604,0,1.03421571533791,0,0
"YIL116W",0.340277404766254,1.12114805647531,0.241107974934054,0,0,0,0
"YIL125W",0.139731422243744,-0.116957941700795,-0.304914836520756,-1.01315950595398,-0.664425277980913,-0.00157339525084493,0.240131118330748
"YIL136W",1.35411359249238,-0.13942647451411,-0.584673990563033,0,0,0.198619873219215,-1.05526147149119
"YIR026C",-0.435592563193378,0.274887811577583,0.374288339169031,1.03047733902327,0.731357049781661,-0.0779544229680562,0.261229908987046
"YIR035C",0.26219258817258,0.247806018219219,0.0750533646045073,0.719227257433423,1.10070858859668,0.0659858294985853,1.12141333091586
"YIR037W",0.37027589672849,-0.322631580208278,-0.176006135828607,-0.774453587626704,-1.07460815990754,0.061015774681628,-0.79701189581527
"YIR038C",0.454175893185802,-0.283456794499959,-0.489341837969956,0,0,-0.112006904023522,-2.11910293415299
"YJL033W",0,0,-0.0133779096967892,0,1.50151557730855,0,0
"YJL039C",0,0.286171451107019,0.210264166313091,0,-1.33989283352942,0,1.13000830410861
"YJL066C",0,-0.564990217476107,-0.686963165451365,-1.47461262189731,-1.20144343799191,0.00705194251649003,0
"YJL130C",-1.23124400477812,-0.862417785939369,-1.17120596180138,-1.59191860674661,-1.23531414747787,-1.01890724444395,-0.983075855742179
"YJL153C",0,0,0,0,0,-1.00917580469352,0
"YJR009C",0.412816691536146,-1.09203259405347,-0.0379026418568697,0.00963381939726868,-0.231210135119562,-0.262330542382557,0
"YJR103W",0,0,-0.407516650606351,-1.12617105607837,-0.447170466813098,0,0
"YJR104C",0.435948564860534,-0.40366157262254,-0.295110333872603,-0.855222676018625,-1.02148217999411,-0.0698606770282665,-0.77433020337484
"YJR109C",-1.30818727359612,1.39966330388802,0.239398041566556,0.4850145696904,-0.0977025549489684,0.253567048493012,0.160662080113344
"YJR121W",0.420293749346622,-0.0407788409179459,0.184144222643103,-1.26251883405182,0.0777313371514523,-0.322630934317091,-0.0762087209739915
"YJR125C",0,-0.258338869572842,0,-0.566698661089683,-0.472108933421623,-0.0585180361310219,1.01464094688175
"YKL028W",-1.26105062198803,0,0,0,0,0,0
