"construct","ratio.avg plate1","ratio.se plate1","ratio.sd plate1","ratio.val plate1","ratio.avg Plate1_SD-G","ratio.se Plate1_SD-G","ratio.sd Plate1_SD-G","ratio.val Plate1_SD-G","ratio.avg Plate2_SD-N","ratio.se Plate2_SD-N","ratio.sd Plate2_SD-N","ratio.val Plate2_SD-N","ratio.avg plate3_LZM","ratio.se plate3_LZM","ratio.sd plate3_LZM","ratio.val plate3_LZM","ratio.avg plate4_Znshock","ratio.se plate4_Znshock","ratio.sd plate4_Znshock","ratio.val plate4_Znshock"
"P1F9",0.493273542600897,0.0422547831992502,0.0731874313639092,"0.577767288175596:0.452442766108095:0.449610573518999",0.59002566923359,0.0201486716066244,0.0348985229276938,"0.627062706270627:0.557755775577558:0.585258525852585",0.493117604443371,0.0280749415683818,0.0486272252159647,"0.489736778555904:0.446269017145617:0.543347017628592",0.409621289662231,0.0209883408278015,0.0363528726803245,"0.451381780962129:0.385056294779939:0.392425793244626",0.403554901135886,0.0621581825830879,0.087904944821466,"0.465713083718973:0.341396718552798"
"P1G9",0.503894264810007,0.0233989410634017,0.0405281547651214,"0.522539532688223:0.457399103139013:0.531744158602785",0.66006600660066,0.0459726658939891,0.0796269930877781,"0.56985698569857:0.68976897689769:0.720572057205721",0.561217097319488,0.0714031806053839,0.123673936630542,"0.423810673750302:0.596232794011109:0.663607824197054",0.50460593654043,0.0619306018726954,0.107266948986829,"0.380757420675537:0.568065506653019:0.564994882292733",0.491586032814472,0.0795119899032394,0.112446934492434,"0.412074042911233:0.571098022717711"
"P2A10",0.744394618834081,0.0388896872765034,0.0673589142533687,"0.822043898985131:0.701675713948549:0.709464243568563",0.825449211587825,0.199348042316555,0.345280937681664,"1.13531353135314:0.887788778877888:0.453245324532453",0.771794252595991,0.0647673066528259,0.112180265792088,"0.901231586573291:0.71142236174837:0.702728809466313",0.752917093142272,0.0592633153191176,0.102647073157687,"0.857932446264074:0.748004094165814:0.652814738996929",0.824463609591923,0.127787126630206,0.180718287577126,"0.952250736222129:0.696676482961716"
"P2A2",0.663913146093934,0.0232017101297041,0.0401865407671329,"0.628038706632051:0.656360632523012:0.707340099126741",0.874954162082875,0.0744299380996433,0.128916434392789,"1.01760176017602:0.84048404840484:0.766776677667767",0.752716735088143,0.0729120501216619,0.126287375294727,"0.892538034291234:0.64694518232311:0.718666988650085",0.720163766632549,0.0431657903069714,0.0747653419605386,"0.804503582395087:0.662026612077789:0.69396110542477",0.820992848127892,0.169751787968027,0.240065280781466,"0.990744636095919:0.651241060159865"
"P2B2",0.806466839745103,0.00966513817769329,0.0167405103859385,"0.824168043426953:0.804342695303281:0.790889780505074",0.848184818481848,0.0312967925095004,0.0542076347403957,"0.797579757975798:0.841584158415842:0.905390539053905",0.660468485872978,0.0549770185855751,0.0952229894388746,"0.612895435885052:0.770103839652258:0.598406182081623",0.657523029682702,0.0299630288041466,0.0518974882374316,"0.623950870010235:0.717297850562948:0.631320368474923",0.663862010938157,0.0617234175355953,0.106908095188439,"0.716870004206984:0.733908287757678:0.540807740849811"
"P2B6",0.618598064668398,0.0409125498845593,0.070862615067253,"0.595468491857446:0.562190228935568:0.698135473212179",0.832783278327833,0.0304142783861297,0.0526790754403207,"0.888888888888889:0.825082508250825:0.784378437843784",0.679304515817435,0.0133081340096159,0.0230503642585901,"0.691137406423569:0.694035257184255:0.652740883844482",0.623336745138178,0.0128868706125176,0.0223207146514468,"0.647901740020471:0.617809621289662:0.604298874104401",0.627050904501472,0.0691204331624336,0.119720102078504,"0.713083718973496:0.677745056794278:0.490323937736643"
"P2C2",0.63842341279207,0.0423535386895823,0.0733584808906906,"0.619542128864763:0.576351191881048:0.719376917630399",0.818115144847818,0.0247327740798199,0.0428384213183707,"0.800880088008801:0.786578657865787:0.866886688668867",0.648877082830234,0.0391574895053027,0.0678227613200294,"0.628833615068824:0.724462690171456:0.593334943250423",0.585670419651996,0.0124569662547565,0.0215760984614093,"0.580962128966223:0.60921187308086:0.566837256908905",0.621581825830879,0.0787782250864087,0.136447888379757,"0.715607909129154:0.684055532183424:0.465082036180059"
"P2C6",0.821571866886948,0.0744184464544597,0.128896530279468,"0.674769884352136:0.916214302572575:0.873731413736134",0.939493949394939,0.088008800880088,0.152435714637525,"1.11551155115512:0.851485148514851:0.851485148514851",0.783868630765516,0.0594118302426729,0.102904308550967,"0.902680511953634:0.725911615551799:0.723013764791113",0.802251791197544,0.0694353503006898,0.120265554562138,"0.940839303991812:0.740634595701126:0.725281473899693",0.880942364324779,0.132519983172066,0.18741155748739,"1.01346234749684:0.748422381152713"
"P2D6mut",0.609393438753835,0.0149939864755899,0.0259703463837223,"0.600424828888364:0.58909605853198:0.638659428841161",0.732673267326733,0.00939934405425469,0.0162801414597896,"0.74037403740374:0.713971397139714:0.743674367436744",0.584641390968365,0.0335554768272045,0.0581197907369184,"0.603477420912823:0.519439748852934:0.631007003139338",0.530399181166837,0.0148677984097584,0.0257517822423933,"0.517093142272262:0.514022517911976:0.560081883316274",0.522822885990745,0.0672065628944047,0.0950444327257475,"0.590029448885149:0.45561632309634"
"P2E10",0.62615057823932,0.0197168773622192,0.0341506333579683,"0.656360632523012:0.632995043662969:0.58909605853198",0.905757242390906,0.0851604847736794,0.147502286425208,"1.07590759075908:0.827282728272827:0.814081408140814",0.755614585848829,0.0448289645140932,0.0776460441891116,"0.843999034049747:0.724462690171456:0.698382033325284",0.723643807574207,0.0536816024087646,0.0929792628036921,"0.827840327533265:0.69396110542477:0.649129989764585",0.769562473706352,0.127156079091292,0.17982585158909,"0.896718552797644:0.642406394615061"
